id,Product,ProductCategory,SalesRep,Units,Cost,Region
3725,6190,Telephones and Communication,Alan Haines,37763,65.99,Quebec
3726,Xerox 188,Paper,Tom Stivers,37859,11.34,Quebec
3727,2190,Telephones and Communication,Ted Butterfield,38048,65.99,Quebec
3728,DAX Cubicle Frames - 8x10,Office Furnishings,Ted Butterfield,38048,5.77,Quebec
3729,300 Series Non-Flip,Telephones and Communication,Michael Chen,38305,155.99,Quebec
3730,"Micro Innovations Micro Digital Wireless Keyboard and Mouse, Gray",Computer Peripherals,Dennis Kane,38371,83.1,Quebec
3731,"Eldon Expressions Punched Metal & Wood Desk Accessories, Pewter & Cherry",Office Furnishings,Mathew Reese,38789,10.64,Quebec
3732,"Westinghouse Floor Lamp with Metal Mesh Shade, Black",Office Furnishings,Mathew Reese,38789,23.99,Quebec
3733,Xerox 1928,Paper,Tom Stivers,39076,5.28,Quebec
3734,Stockwell Push Pins,Rubber Bands,Jason Klamczynski,39173,2.18,Quebec
3735,"Bevis Round Conference Table Top, X-Base",Tables,Jason Klamczynski,39173,179.29,Quebec
3736,"Imation Primaris 3.5"" 2HD Unformatted Diskettes, 10/Pack",Computer Peripherals,Mitch Webber,39335,4.77,Quebec
3737,"Tyvek ® Top-Opening Peel & Seel Envelopes, Plain White",Envelopes,Mitch Webber,39335,27.18,Quebec
3738,Riverleaf Stik-Withit® Designer Note Cubes®,Paper,Anne Pryor,39744,10.06,Quebec
3739,252,Telephones and Communication,Anne Pryor,39744,65.99,Quebec
3740,CF 688,Telephones and Communication,Anne Pryor,39744,155.99,Quebec
3741,"Iceberg OfficeWorks 42"" Round Tables",Tables,Sheri Gordon,39878,150.98,Quebec
3742,Avery 48,Labels,Sheri Gordon,39972,6.3,Quebec
3743,Avery 501,Labels,Sheri Gordon,39972,3.69,Quebec
3744,Wilson Jones Standard D-Ring Binders,Binders and Binder Accessories,Sheri Gordon,39972,5.06,Quebec
3745,"Peel & Seel® Recycled Catalog Envelopes, Brown",Envelopes,Ben Wallace,40643,11.58,Quebec
3746,Gyration Ultra Professional Cordless Optical Suite,Computer Peripherals,Justin MacKendrick,40870,300.97,Quebec
3747,"Eldon® 300 Class™ Desk Accessories, Black",Office Furnishings,Justin MacKendrick,40870,4.95,Quebec
3748,Newell 326,Pens & Art Supplies,Carol Triggs,40934,1.76,Quebec
3749,600 Series Non-Flip,Telephones and Communication,Carol Triggs,40934,45.99,Quebec
3750,"Tenex Contemporary Contur Chairmats for Low and Medium Pile Carpet, Computer, 39"" x 49""",Office Furnishings,Mitch Webber,41254,107.53,Quebec
3751,"Acco PRESSTEX® Data Binder with Storage Hooks, Dark Blue, 9 1/2"" X 11""",Binders and Binder Accessories,Helen Wasserman,41472,5.38,Quebec
3752,Canon S750 Color Inkjet Printer,Office Machines,Deirdre Greer,41830,120.97,Quebec
3753,Space Solutions Commercial Steel Shelving,Storage & Organization,Anne Pryor,42144,64.65,Quebec
3754,"Quartet Omega® Colored Chalk, 12/Pack",Pens & Art Supplies,Pamela Stobb,42439,5.84,Quebec
3755,Adesso Programmable 142-Key Keyboard,Computer Peripherals,Nora Price,42758,152.48,Quebec
3756,White GlueTop Scratch Pads,Paper,Nora Price,42758,15.04,Quebec
3757,Ibico Covers for Plastic or Wire Binding Elements,Binders and Binder Accessories,Logan Haushalter,42918,11.5,Quebec
3758,Accessory13,Telephones and Communication,Theresa Swint,42950,35.99,Quebec
3759,StarTAC 6500,Telephones and Communication,Toby Carlisle,42951,125.99,Quebec
3760,Binder Clips by OIC,Rubber Bands,Liz Willingham,43172,1.48,Quebec
3761,Avery 503,Labels,Sarah Brown,43270,10.35,Quebec
3762,12 Colored Short Pencils,Pens & Art Supplies,Brenda Bowman,43271,2.6,Quebec
3763,Belkin 5 Outlet SurgeMaster™ Power Centers,Appliances,Laurel Elliston,43745,54.48,Quebec
3764,Microsoft Natural Multimedia Keyboard,Computer Peripherals,Laurel Elliston,43745,50.98,Quebec
3765,Xerox 1968,Paper,Laurel Elliston,43745,6.68,Quebec
3766,T61,Telephones and Communication,Laurel Elliston,43745,45.99,Quebec
3767,Luxo Professional Fluorescent Magnifier Lamp with Clamp-Mount Base,Office Furnishings,Lindsay Castell,43779,209.84,Quebec
3768,"Tenex Personal Self-Stacking Standard File Box, Black/Gray",Storage & Organization,Dorris Love,43877,16.91,Quebec
3769,Hon iLevel™ Computer Training Table,Tables,Anne Pryor,43907,31.76,Quebec
3770,2160i,Telephones and Communication,Anne Pryor,43940,200.99,Quebec
3771,Sanford 52201 APSCO Electric Pencil Sharpener,Pens & Art Supplies,Anne Pryor,43940,40.97,Quebec
3772,Newell 312,Pens & Art Supplies,Alan Haines,44036,5.84,Quebec
3773,Deflect-o Glass Clear Studded Chair Mats,Office Furnishings,Nora Price,44225,62.18,Quebec
3774,Acco® Hot Clips™ Clips to Go,Rubber Bands,Jeremy Farry,44352,3.29,Quebec
3775,"Eldon® 200 Class™ Desk Accessories, Burgundy",Office Furnishings,Helen Wasserman,44487,6.28,Quebec
3776,Eldon® Gobal File Keepers,Storage & Organization,Helen Wasserman,44487,15.14,Quebec
3777,SANFORD Major Accent™ Highlighters,Pens & Art Supplies,Dennis Kane,44775,7.08,Quebec
3778,Newell 326,Pens & Art Supplies,Liz Willingham,46337,1.76,Quebec
3779,Bevis Rectangular Conference Tables,Tables,Anne Pryor,46562,145.98,Quebec
3780,T28 WORLD,Telephones and Communication,Michael Chen,46597,195.99,Quebec
3781,GBC Binding covers,Binders and Binder Accessories,Michael Chen,46597,12.95,Quebec
3782,"Global High-Back Leather Tilter, Burgundy",Chairs & Chairmats,Michael Chen,46597,122.99,Quebec
3783,Newell 312,Pens & Art Supplies,Anne Pryor,46725,5.84,Quebec
3784,"Tenex Personal Self-Stacking Standard File Box, Black/Gray",Storage & Organization,Anne Pryor,46725,16.91,Quebec
3785,Xerox 1996,Paper,Caroline Jumper,46787,6.48,Quebec
3786,Boston KS Multi-Size Manual Pencil Sharpener,Pens & Art Supplies,Caroline Jumper,46787,22.99,Quebec
3787,Newell 339,Pens & Art Supplies,Nora Price,46916,2.78,Quebec
3788,Xerox 1983,Paper,Ben Wallace,47265,5.98,Quebec
3789,"Mead 1st Gear 2"" Zipper Binder, Asst. Colors",Binders and Binder Accessories,Carol Triggs,48487,12.97,Quebec
3790,Hon Deluxe Fabric Upholstered Stacking Chairs,Chairs & Chairmats,Dionis Lloyd,48774,243.98,Quebec
3791,Sensible Storage WireTech Storage Systems,Storage & Organization,Stuart Van,49381,70.98,Quebec
3792,Acme® Preferred Stainless Steel Scissors,"Scissors, Rulers and Trimmers",Jasper Cacioppo,49666,5.68,Quebec
3793,Prang Colored Pencils,Pens & Art Supplies,Fred Chung,49762,2.94,Quebec
3794,Eldon® Gobal File Keepers,Storage & Organization,Brenda Bowman,49831,15.14,Quebec
3795,Hoover Portapower™ Portable Vacuum,Appliances,Bill Eplett,49892,4.48,Quebec
3796,Office Impressions Heavy Duty Welded Shelving & Multimedia Storage Drawers,Storage & Organization,Helen Wasserman,49988,167.27,Quebec
3797,Bretford CR8500 Series Meeting Room Furniture,Tables,Helen Wasserman,49988,400.98,Quebec
3798,ELITE Series,Telephones and Communication,Helen Wasserman,49988,205.99,Quebec
3799,Avery 508,Labels,Liz Willingham,50308,4.91,Quebec
3800,GBC Imprintable Covers,Binders and Binder Accessories,Shirley Schmidt,50692,10.98,Quebec
3801,Bevis 36 x 72 Conference Tables,Tables,Shirley Schmidt,50692,124.49,Quebec
3802,Office Star Flex Back Scooter Chair with White Frame,Chairs & Chairmats,Muhammed Yedwab,50725,110.98,Quebec
3803,Avery 510,Labels,Clay Ludtke,50982,3.75,Quebec
3804,Martin-Yale Premier Letter Opener,"Scissors, Rulers and Trimmers",Michael Chen,51008,12.88,Quebec
3805,Xerox 1922,Paper,Liz Willingham,51463,4.98,Quebec
3806,StarTAC Series,Telephones and Communication,Liz Willingham,51463,65.99,Quebec
3807,Southworth 25% Cotton Linen-Finish Paper & Envelopes,Paper,Dorris Love,51943,9.06,Quebec
3808,"GBC Laser Imprintable Binding System Covers, Desert Sand",Binders and Binder Accessories,Dorris Love,51943,14.27,Quebec
3809,Avery 508,Labels,Dorris Love,51943,4.91,Quebec
3810,"Imation Printable White 80 Minute CD-R Spindle, 50/Pack",Computer Peripherals,Justin MacKendrick,52039,40.98,Quebec
3811,Ibico EB-19 Dual Function Manual Binding System,Binders and Binder Accessories,Dennis Kane,52290,172.99,Quebec
3812,T193,Telephones and Communication,Dennis Kane,52290,65.99,Quebec
3813,"Executive Impressions 14"" Two-Color Numerals Wall Clock",Office Furnishings,Anne Pryor,52480,22.72,Quebec
3814,Gyration Ultra Professional Cordless Optical Suite,Computer Peripherals,Dorris Love,52486,300.97,Quebec
3815,Kensington 6 Outlet Guardian Standard Surge Protector,Appliances,Bill Eplett,52519,20.48,Quebec
3816,6120,Telephones and Communication,Bill Eplett,53152,65.99,Quebec
3817,Acco Perma® 2700 Stacking Storage Drawers,Storage & Organization,Dorris Love,53188,29.74,Quebec
3818,Storex DuraTech Recycled Plastic Frosted Binders,Binders and Binder Accessories,Stewart Visinsky,53223,4.24,Quebec
3819,Bretford CR4500 Series Slim Rectangular Table,Tables,Brenda Bowman,53248,348.21,Quebec
3820,Belkin MediaBoard 104- Keyboard,Computer Peripherals,Brenda Bowman,53411,27.48,Quebec
3821,Fiskars® Softgrip Scissors,"Scissors, Rulers and Trimmers",Dorris Love,53668,10.98,Quebec
3822,"Avery® Durable Plastic 1"" Binders",Binders and Binder Accessories,Shirley Schmidt,53730,4.54,Quebec
3823,Xerox 1887,Paper,Jennifer Ferguson,54020,18.97,Quebec
3824,Xerox 204,Paper,Jennifer Ferguson,54020,6.48,Quebec
3825,"Rediform Wirebound ""Phone Memo"" Message Book, 11 x 5-3/4",Paper,Kimberly Carter,54368,7.64,Quebec
3826,Xerox 1952,Paper,Kimberly Carter,54368,4.98,Quebec
3827,KF 788,Telephones and Communication,Kimberly Carter,54368,45.99,Quebec
3828,Hon 4-Shelf Metal Bookcases,Bookcases,Liz Willingham,54721,100.98,Quebec
3829,Avery 508,Labels,Brian Thompson,55013,4.91,Quebec
3830,Boston 16801 Nautilus™ Battery Pencil Sharpener,Pens & Art Supplies,Brian Thompson,55013,22.01,Quebec
3831,TDK 4.7GB DVD+RW,Computer Peripherals,Stewart Visinsky,55077,14.48,Quebec
3832,Accessory28,Telephones and Communication,Stewart Visinsky,55077,55.99,Quebec
3833,Wilson Jones Easy Flow II™ Sheet Lifters,Binders and Binder Accessories,Kimberly Carter,55206,1.8,Quebec
3834,Timeport L7089,Telephones and Communication,Stewart Visinsky,55492,125.99,Quebec
3835,Accessory15,Telephones and Communication,Sarah Brown,55744,20.99,Quebec
3836,"Crayola Anti Dust Chalk, 12/Pack",Pens & Art Supplies,Carol Triggs,55968,1.82,Quebec
3837,Jet-Pak Recycled Peel 'N' Seal Padded Mailers,Envelopes,Mathew Reese,56288,35.89,Quebec
3838,Park Ridge™ Embossed Executive Business Envelopes,Envelopes,Mathew Reese,56288,15.57,Quebec
3839,Panasonic KX-P3626 Dot Matrix Printer,Office Machines,Shirley Daniels,56291,517.48,Quebec
3840,White GlueTop Scratch Pads,Paper,Shirley Daniels,56291,15.04,Quebec
3841,2300 Heavy-Duty Transfer File Systems by Perma,Storage & Organization,Shirley Daniels,56291,24.98,Quebec
3842,Xerox 1947,Paper,Sheri Gordon,56486,5.98,Quebec
3843,GBC Linen Binding Covers,Binders and Binder Accessories,Shirley Daniels,56514,30.98,Quebec
3844,Xerox 1961,Paper,Shirley Daniels,56514,4.98,Quebec
3845,"Dixon Ticonderoga Core-Lock Colored Pencils, 48-Color Set",Pens & Art Supplies,Clay Ludtke,56672,36.55,Quebec
3846,"Barricks Non-Folding Utility Table with Steel Legs, Laminate Tops",Tables,Clay Ludtke,56672,85.29,Quebec
3847,StarTAC Analog,Telephones and Communication,Clay Ludtke,56672,65.99,Quebec
3848,Bell Sonecor JB700 Caller ID,Telephones and Communication,Dionis Lloyd,56931,7.99,Quebec
3849,"Cardinal Slant-D® Ring Binder, Heavy Gauge Vinyl",Binders and Binder Accessories,Fred Chung,57025,8.69,Quebec
3850,"Avery Flip-Chart Easel Binder, Black",Binders and Binder Accessories,Dionis Lloyd,57061,22.38,Quebec
3851,Avery 51,Labels,Dionis Lloyd,57061,6.3,Quebec
3852,"Seth Thomas 13 1/2"" Wall Clock",Office Furnishings,Dionis Lloyd,57061,17.78,Quebec
3853,"Hunt BOSTON® Vista® Battery-Operated Pencil Sharpener, Black",Pens & Art Supplies,Alan Haines,57217,11.66,Quebec
3854,Security-Tint Envelopes,Envelopes,Sarah Brown,57504,7.64,Quebec
3855,Boston 1799 Powerhouse™ Electric Pencil Sharpener,Pens & Art Supplies,Mathew Reese,57666,25.98,Quebec
3856,"Tennsco Lockers, Gray",Storage & Organization,Mathew Reese,57666,20.98,Quebec
3857,Xerox 1997,Paper,Dionis Lloyd,58496,6.48,Quebec
3858,Balt Split Level Computer Training Table,Tables,Dionis Lloyd,58628,138.75,Quebec
3859,"Rush Hierlooms Collection 1"" Thick Stackable Bookcases",Bookcases,Arthur Gainer,58854,170.98,Quebec
3860,1726 Digital Answering Machine,Telephones and Communication,Arthur Gainer,58854,20.99,Quebec
3861,Sharp AL-1530CS Digital Copier,Copiers and Fax,John Stevenson,58917,499.99,Quebec
3862,Panasonic KP-310 Heavy-Duty Electric Pencil Sharpener,Pens & Art Supplies,John Stevenson,58917,21.98,Quebec
3863,"GBC Laser Imprintable Binding System Covers, Desert Sand",Binders and Binder Accessories,Aaron Smayling,59104,14.27,Quebec
3864,Staples Gold Paper Clips,Rubber Bands,Aaron Smayling,59104,2.98,Quebec
3865,StarTAC 7797,Telephones and Communication,Aaron Smayling,59104,115.99,Quebec
3866,Xerox 197,Paper,John Stevenson,59937,30.98,Quebec
3867,Avery 501,Labels,Tracy Poddar,386,3.69,Ontario
3868,Avery Hi-Liter Pen Style Six-Color Fluorescent Set,Pens & Art Supplies,Tracy Poddar,386,3.85,Ontario
3869,5190,Telephones and Communication,Stuart Calhoun,416,65.99,Ontario
3870,"Global Leather & Oak Executive Chair, Burgundy",Chairs & Chairmats,Arthur Prichep,513,150.89,Ontario
3871,Portfile® Personal File Boxes,Storage & Organization,Arthur Prichep,611,17.7,Ontario
3872,Fellowes Binding Cases,Binders and Binder Accessories,Kean Nguyen,802,11.7,Ontario
3873,"AT&T Black Trimline Phone, Model 210",Office Machines,Kean Nguyen,802,15.99,Ontario
3874,DAX Wood Document Frame.,Office Furnishings,Jim Kriz,960,13.73,Ontario
3875,Global Adaptabilities™ Conference Tables,Tables,Jas O'Carroll,965,280.98,Ontario
3876,"Rubbermaid ClusterMat Chairmats, Mat Size- 66"" x 60"", Lip 20"" x 11"" -90 Degree Angle",Office Furnishings,Stuart Calhoun,1127,110.98,Ontario
3877,Adesso Programmable 142-Key Keyboard,Computer Peripherals,Harold Ryan,1507,152.48,Ontario
3878,Accessory35,Telephones and Communication,John Lucas,1665,35.99,Ontario
3879,Hon 94000 Series Round Tables,Tables,Alejandro Grove,1952,296.18,Ontario
3880,Heavy-Duty E-Z-D® Binders,Binders and Binder Accessories,Sam Zeldin,1953,10.91,Ontario
3881,Xerox 1924,Paper,Sam Zeldin,2213,5.78,Ontario
3882,"Holmes Replacement Filter for HEPA Air Cleaner, Large Room",Appliances,Sally Hughsby,2368,14.81,Ontario
3883,Microsoft Internet Keyboard,Computer Peripherals,Harold Ryan,2560,20.97,Ontario
3884,Xerox 1952,Paper,Harold Ryan,2560,4.98,Ontario
3885,Kensington 6 Outlet MasterPiece® HOMEOFFICE Power Control Center,Appliances,Philip Brown,2754,90.24,Ontario
3886,Xerox 1938,Paper,Philip Brown,2754,47.9,Ontario
3887,Large Capacity Hanging Post Binders,Binders and Binder Accessories,Jane Waco,2755,24.95,Ontario
3888,Xerox 1904,Paper,Jane Waco,2755,6.48,Ontario
3889,Belkin F5C206VTEL 6 Outlet Surge,Appliances,Sandra Flanagan,3333,22.98,Ontario
3890,Xerox 207,Paper,Sandra Flanagan,3333,6.48,Ontario
3891,"Perma STOR-ALL™ Hanging File Box, 13 1/8""W x 12 1/4""D x 10 1/2""H",Storage & Organization,Steve Nguyen,3460,5.98,Ontario
3892,Avanti 1.7 Cu. Ft. Refrigerator,Appliances,Herbert Flentye,3591,100.98,Ontario
3893,"Global Leather Task Chair, Black",Chairs & Chairmats,Herbert Flentye,3591,89.99,Ontario
3894,"Snap-A-Way® Black Print Carbonless Ruled Speed Letter, Triplicate",Paper,Jas O'Carroll,4006,37.94,Ontario
3895,Avery 491,Labels,Sandra Flanagan,4193,4.13,Ontario
3896,"Executive Impressions 14"" Two-Color Numerals Wall Clock",Office Furnishings,Sandra Flanagan,4193,22.72,Ontario
3897,"Iceberg OfficeWorks 42"" Round Tables",Tables,Sandra Flanagan,4387,150.98,Ontario
3898,Bevis Round Conference Table Top & Single Column Base,Tables,Sandra Flanagan,4512,146.34,Ontario
3899,"Bevis Round Conference Table Top, X-Base",Tables,Liz Willingham,4773,179.29,Ontario
3900,Xerox 227,Paper,Sally Hughsby,4839,6.48,Ontario
3901,"*Staples* vLetter Openers, 2/Pack","Scissors, Rulers and Trimmers",Xylona Price,4935,3.68,Ontario
3902,Smead Adjustable Mobile File Trolley with Lockable Top,Storage & Organization,John Lucas,6403,419.19,Ontario
3903,i470,Telephones and Communication,Bill Overfelt,6754,205.99,Ontario
3904,"Maxell Pro 80 Minute CD-R, 10/Pack",Computer Peripherals,Sally Hughsby,7619,17.48,Ontario
3905,Ibico EB-19 Dual Function Manual Binding System,Binders and Binder Accessories,Kean Nguyen,7744,172.99,Ontario
3906,"#10- 4 1/8"" x 9 1/2"" Security-Tint Envelopes",Envelopes,Kean Nguyen,7744,7.64,Ontario
3907,Xerox 1977,Paper,Stuart Calhoun,8006,6.68,Ontario
3908,"Quartet Alpha® White Chalk, 12/Pack",Pens & Art Supplies,John Grady,8224,2.21,Ontario
3909,Accessory37,Telephones and Communication,Jas O'Carroll,8323,20.99,Ontario
3910,Xerox 1984,Paper,Robert Marley,8480,6.48,Ontario
3911,Timeport L7089,Telephones and Communication,Robert Marley,8480,125.99,Ontario
3912,Honeywell Enviracaire® Portable Air Cleaner for up to 8 x 10 Room,Appliances,John Lucas,9568,76.72,Ontario
3913,"Mead 1st Gear 2"" Zipper Binder, Asst. Colors",Binders and Binder Accessories,Herbert Flentye,9701,12.97,Ontario
3914,T18,Telephones and Communication,Herbert Flentye,9701,110.99,Ontario
3915,DAX Cubicle Frames - 8x10,Office Furnishings,Mick Hernandez,9926,5.77,Ontario
3916,Xerox 21,Paper,Sally Hughsby,10373,6.48,Ontario
3917,Acco Smartsocket® Color-Coded Six-Outlet AC Adapter Model Surge Protectors,Appliances,Guy Phonely,10470,44.01,Ontario
3918,"GBC Pre-Punched Binding Paper, Plastic, White, 8-1/2"" x 11""",Binders and Binder Accessories,Guy Phonely,10470,15.99,Ontario
3919,5165,Telephones and Communication,Guy Phonely,10470,175.99,Ontario
3920,Eldon Econocleat® Chair Mats for Low Pile Carpets,Office Furnishings,Guy Phonely,11111,41.47,Ontario
3921,Xerox 210,Paper,Guy Phonely,11111,6.48,Ontario
3922,"Imation 3.5"" IBM-Formatted Diskettes, 10/Pack",Computer Peripherals,Janet Molinari,11173,5.98,Ontario
3923,"Bevis Round Conference Table Top, X-Base",Tables,Jay Kimmel,11239,179.29,Ontario
3924,Ibico Hi-Tech Manual Binding System,Binders and Binder Accessories,Matt Connell,11396,304.99,Ontario
3925,"Iceberg OfficeWorks 42"" Round Tables",Tables,Tracy Poddar,11808,150.98,Ontario
3926,"Fellowes Internet Keyboard, Platinum",Computer Peripherals,Tracy Poddar,11874,30.42,Ontario
3927,"Blue String-Tie & Button Interoffice Envelopes, 10 x 13",Envelopes,Tracy Poddar,11874,39.98,Ontario
3928,"Deflect-o RollaMat Studded, Beveled Mat for Medium Pile Carpeting",Office Furnishings,Jay Kimmel,12322,92.23,Ontario
3929,O'Sullivan Cherrywood Estates Traditional Barrister Bookcase,Bookcases,Steve Nguyen,12480,137.48,Ontario
3930,Lexmark Z25 Color Inkjet Printer,Office Machines,Vivek Grady,12516,80.97,Ontario
3931,Xerox 231,Paper,Vivek Grady,12516,6.48,Ontario
3932,"Bravo II™ Megaboss® 12-Amp Hard Body Upright, Replacement Belts, 2 Belts per Pack",Appliances,Ben Ferrer,13088,3.25,Ontario
3933,Logitech Internet Navigator Keyboard,Computer Peripherals,Xylona Price,13121,30.98,Ontario
3934,Talkabout T8097,Telephones and Communication,Xylona Price,13121,205.99,Ontario
3935,"Fellowes Strictly Business® Drawer File, Letter/Legal Size",Storage & Organization,Jim Kriz,13348,140.85,Ontario
3936,Staples Copy Paper (20Lb. and 84 Bright),Paper,Karen Daniels,13413,4.98,Ontario
3937,1726 Digital Answering Machine,Telephones and Communication,Pamela Coakley,13447,20.99,Ontario
3938,TDK 4.7GB DVD+RW,Computer Peripherals,Steve Nguyen,13638,14.48,Ontario
3939,Space Solutions™ Industrial Galvanized Steel Shelving.,Storage & Organization,Katherine Nockton,13761,78.8,Ontario
3940,Acco® Hot Clips™ Clips to Go,Rubber Bands,Denny Blanton,14247,3.29,Ontario
3941,Avery Hi-Liter Pen Style Six-Color Fluorescent Set,Pens & Art Supplies,Steve Nguyen,14755,3.85,Ontario
3942,5170,Telephones and Communication,Steve Nguyen,14755,65.99,Ontario
3943,"Tenex Personal Self-Stacking Standard File Box, Black/Gray",Storage & Organization,Robert Marley,14854,16.91,Ontario
3944,Xerox 1899,Paper,Katherine Nockton,15078,5.78,Ontario
3945,Boston 1645 Deluxe Heavier-Duty Electric Pencil Sharpener,Pens & Art Supplies,Sean O'Donnell,15718,43.98,Ontario
3946,OIC Thumb-Tacks,Rubber Bands,Sean O'Donnell,15718,1.14,Ontario
3947,"Eaton Premium Continuous-Feed Paper, 25% Cotton, Letter Size, White, 1000 Shts/Box",Paper,Jas O'Carroll,15744,55.48,Ontario
3948,"Wilson Jones Hanging View Binder, White, 1""",Binders and Binder Accessories,Chris Selesnick,16454,7.1,Ontario
3949,SouthWestern Bell FA970 Digital Answering Machine with Time/Day Stamp,Telephones and Communication,Sally Hughsby,16676,28.99,Ontario
3950,Hon 4070 Series Pagoda™ Round Back Stacking Chairs,Chairs & Chairmats,Sally Hughsby,16897,320.98,Ontario
3951,"Quartet Alpha® White Chalk, 12/Pack",Pens & Art Supplies,Sally Hughsby,16897,2.21,Ontario
3952,Kensington 7 Outlet MasterPiece Power Center with Fax/Phone Line Protection,Appliances,Stuart Calhoun,16999,207.48,Ontario
3953,8860,Telephones and Communication,Kean Nguyen,17091,65.99,Ontario
3954,Keytronic French Keyboard,Computer Peripherals,Matt Connell,17249,73.98,Ontario
3955,Avery 494,Labels,Sean O'Donnell,17670,2.61,Ontario
3956,"Bush Westfield Collection Bookcases, Dark Cherry Finish, Fully Assembled",Bookcases,Vivek Grady,17797,100.98,Ontario
3957,Colored Envelopes,Envelopes,Vivek Grady,17797,3.69,Ontario
3958,"White Dual Perf Computer Printout Paper, 2700 Sheets, 1 Part, Heavyweight, 20 lbs., 14 7/8 x 11",Paper,Guy Phonely,18213,40.99,Ontario
3959,"IBM 80 Minute CD-R Spindle, 50/Pack",Computer Peripherals,Denny Blanton,18241,20.89,Ontario
3960,Bretford CR8500 Series Meeting Room Furniture,Tables,Denny Blanton,18241,400.98,Ontario
3961,Hon Olson Stacker Stools,Chairs & Chairmats,Chris Selesnick,18244,140.81,Ontario
3962,Space Solutions Commercial Steel Shelving,Storage & Organization,Laura Armstrong,18465,64.65,Ontario
3963,Staples Surge Protector 6 outlet,Appliances,Jas O'Carroll,18528,10.98,Ontario
3964,Xerox 196,Paper,Jas O'Carroll,18528,5.78,Ontario
3965,Round Ring Binders,Binders and Binder Accessories,Steve Nguyen,18917,2.08,Ontario
3966,Laminate Occasional Tables,Tables,Bill Overfelt,19493,154.13,Ontario
3967,"Boston Model 1800 Electric Pencil Sharpener, Gray",Pens & Art Supplies,Katherine Nockton,19616,28.15,Ontario
3968,Newell 318,Pens & Art Supplies,Katherine Nockton,19616,2.78,Ontario
3969,Fellowes EZ Multi-Media Keyboard,Computer Peripherals,Sandra Flanagan,20390,34.98,Ontario
3970,Serrated Blade or Curved Handle Hand Letter Openers,"Scissors, Rulers and Trimmers",Sandra Flanagan,20390,3.14,Ontario
3971,"Recycled Desk Saver Line ""While You Were Out"" Book, 5 1/2"" X 4""",Paper,Bill Overfelt,20451,8.95,Ontario
3972,Recycled Steel Personal File for Standard File Folders,Storage & Organization,Bill Overfelt,20451,55.29,Ontario
3973,Chromcraft Bull-Nose Wood Oval Conference Tables & Bases,Tables,Bill Overfelt,20451,550.98,Ontario
3974,"Wirebound Message Books, Four 2 3/4"" x 5"" Forms per Page, 600 Sets per Book",Paper,Alejandro Grove,20486,9.27,Ontario
3975,Avery Hi-Liter Pen Style Six-Color Fluorescent Set,Pens & Art Supplies,Alejandro Grove,20486,3.85,Ontario
3976,Xerox 1940,Paper,Arthur Prichep,20899,54.96,Ontario
3977,"Global High-Back Leather Tilter, Burgundy",Chairs & Chairmats,Vivek Grady,21089,122.99,Ontario
3978,"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators",Appliances,Lindsay Shagiari,21634,208.16,Ontario
3979,Polycom ViewStation™ Adapter H323 Videoconferencing Unit,Office Machines,Lindsay Shagiari,21634,1938.02,Ontario
3980,DPC 650 Piper,Telephones and Communication,Arthur Prichep,21665,115.99,Ontario
3981,ACCOHIDE® Binder by Acco,Binders and Binder Accessories,Xylona Price,21729,4.13,Ontario
3982,Eldon Cleatmat Plus™ Chair Mats for High Pile Carpets,Office Furnishings,Xylona Price,21729,79.52,Ontario
3983,US Robotics 56K V.92 External Faxmodem,Computer Peripherals,Vivek Grady,21796,99.99,Ontario
3984,1726 Digital Answering Machine,Telephones and Communication,Vivek Grady,21796,20.99,Ontario
3985,"#10 White Business Envelopes,4 1/8 x 9 1/2",Envelopes,Vivek Grady,21796,15.67,Ontario
3986,OIC Thumb-Tacks,Rubber Bands,Vivek Grady,21796,1.14,Ontario
3987,Hoover WindTunnel™ Plus Canister Vacuum,Appliances,Sally Hughsby,21958,363.25,Ontario
3988,Premium Transparent Presentation Covers by GBC,Binders and Binder Accessories,Steve Nguyen,22468,20.98,Ontario
3989,"Adams Write n' Stick Phone Message Book, 11"" X 5 1/4"", 200 Messages",Paper,Steve Nguyen,22468,5.68,Ontario
3990,Staples Plastic Wall Frames,Office Furnishings,Steve Nguyen,22468,7.96,Ontario
3991,Array® Memo Cubes,Paper,John Lucas,22626,5.18,Ontario
3992,BoxOffice By Design Rectangular and Half-Moon Meeting Room Tables,Tables,John Lucas,22626,218.75,Ontario
3993,Kensington 6 Outlet SmartSocket Surge Protector,Appliances,Stuart Calhoun,23205,40.98,Ontario
3994,"Imation Neon Mac Format Diskettes, 10/Pack",Computer Peripherals,Stuart Calhoun,23205,8.12,Ontario
3995,Bevis Boat-Shaped Conference Table,Tables,Stuart Calhoun,23205,262.11,Ontario
3996,Round Ring Binders,Binders and Binder Accessories,Kean Nguyen,23394,2.08,Ontario
3997,Microsoft Natural Multimedia Keyboard,Computer Peripherals,Katherine Nockton,24390,50.98,Ontario
3998,Accessory8,Telephones and Communication,Ben Ferrer,24643,85.99,Ontario
3999,"Imation Primaris 3.5"" 2HD Unformatted Diskettes, 10/Pack",Computer Peripherals,Janet Molinari,24679,4.77,Ontario
4000,Holmes Odor Grabber,Appliances,Sally Hughsby,25062,14.42,Ontario
4001,GBC DocuBind 200 Manual Binding Machine,Binders and Binder Accessories,Sally Hughsby,25062,420.98,Ontario
